field_plot_number,field_plot_temperature,field_plot_co2,field_plot_camera_0_uri,field_plot_camera_1_uri,field_plot_gallery,field_plot_enclosure
2,0,ambient,,,,0
4,4.5,elevated,http://205.149.147.140/index.html,http://205.149.147.141/index.html,,1
5,0,ambient,,,,0
6,0,ambient,http://205.149.147.142/index.html,http://205.149.147.143/index.html,,1
7,0,ambient,http://205.149.147.144/index.html,http://205.149.147.145/index.html,,0
8,6.75,ambient,http://205.149.147.146/index.html,http://205.149.147.147/index.html,,1
9,0,ambient,,,,0
10,9,elevated,http://205.149.147.148/index.html,http://205.149.147.149/index.html,,1
11,2.25,elevated,http://205.149.147.150/index.html,http://205.149.147.151/index.html,,1
13,4.5,ambient,http://205.149.147.152/index.html,http://205.149.147.153/index.html,,1
14,0,ambient,,,,0
15,0,ambient,,,,0
16,6.75,elevated,http://205.149.147.154/index.html,http://205.149.147.155/index.html,,1
17,9,ambient,http://205.149.147.156/index.html,http://205.149.147.157/index.html,,1
19,0,elevated,http://205.149.147.158/index.html,http://205.149.147.159/index.html,,1
20,2.25,ambient,http://205.149.147.160/index.html,http://205.149.147.161/index.html,,1
21,0,ambient,http://205.149.147.162/index.html,http://205.149.147.163/index.html,,0
